"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"01/15/2025","Buy","MSTY","YIELDMAX MSTR OPTION INCOME ETF","40","$25.00","","-$1000.00"
"01/15/2025","Buy","SCHB","SCHWAB US BROAD MARKET ETF","10","$20.00","","-$200.00"
"02/03/2025","Buy","TSLY","YIELDMAX TSLA OPTION INCOME ETF","50","$12.00","","-$600.00"
"02/10/2025","Buy","AAPL","APPLE INC","5","$180.00","","-$900.00"
"02/28/2025","Cash Dividend","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","$80.00"
"02/28/2025","NRA Tax Adj","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","-$24.00"
"03/01/2025","Reinvest Dividend","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","-$40.00"
"03/01/2025","Reinvest Shares","MSTY","YIELDMAX MSTR OPTION INCOME ETF","1.8182","$22.00","","-$40.00"
"03/31/2025","Cash Dividend","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","$76.00"
"03/31/2025","NRA Tax Adj","MSTY","YIELDMAX MSTR OPTION INCOME ETF","","","","-$22.80"
"03/31/2025","Cash Dividend","TSLY","YIELDMAX TSLA OPTION INCOME ETF","","","","$45.00"
"03/31/2025","NRA Tax Adj","TSLY","YIELDMAX TSLA OPTION INCOME ETF","","","","-$13.50"
"03/31/2025","Qualified Dividend","SCHB","SCHWAB US BROAD MARKET ETF","","","","$1.50"
"03/31/2025","NRA Tax Adj","SCHB","SCHWAB US BROAD MARKET ETF","","","","-$0.45"
"04/15/2025","Qual Div Reinvest","SCHB","SCHWAB US BROAD MARKET ETF","","","","$1.05"
"04/15/2025","Reinvest Shares","SCHB","SCHWAB US BROAD MARKET ETF","0.0500","$21.00","","-$1.05"
"04/20/2025","Credit Interest","","SCHWAB BANK INTEREST","","","","$0.12"
"04/22/2025","MoneyLink Transfer","","TRANSFER FROM BANK","","","","$500.00"
"05/02/2025","Cash In Lieu","TSLY","YIELDMAX TSLA OPTION INCOME ETF","","","","$0.37"
"05/10/2025","Sell","AAPL","APPLE INC","2","$195.00","$0.02","$389.98"
"06/01/2025","Foreign Tax Paid","SCHB","SCHWAB US BROAD MARKET ETF","","","","-$0.08"
