"Investment Income Transactions as of 08/08/2026 09:00:00 ET"
Transaction Date,Account Number,Account Name,Account Type,Security Description,Symbol,Security Type,Transaction Type,Transaction Amount,Income Type,
08/31/2026,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,75.0000000000,Estimated,
09/30/2026,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,75.0000000000,Estimated,
10/30/2026,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,75.0000000000,Estimated,
11/30/2026,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,75.0000000000,Estimated,
12/31/2026,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,75.0000000000,Estimated,
01/29/2027,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,75.0000000000,Estimated,
02/26/2027,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,75.0000000000,Estimated,
03/31/2027,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,75.0000000000,Estimated,
04/30/2027,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,75.0000000000,Estimated,
05/28/2027,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,75.0000000000,Estimated,
06/30/2027,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,75.0000000000,Estimated,
07/30/2027,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,75.0000000000,Estimated,
01/30/2026,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,90.0000000000,Received,
02/27/2026,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,82.0000000000,Received,
03/31/2026,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,74.0000000000,Received,
04/30/2026,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,66.0000000000,Received,
05/29/2026,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,58.0000000000,Received,
06/30/2026,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,50.0000000000,Received,
07/31/2026,...222,Individual,BROKERAGE,YieldMax MSTR Option Income ETF,MSTY,ETFs & Closed End Funds,Dividend,42.0000000000,Received,
03/31/2026,...222,Individual,BROKERAGE,Schwab US Broad Market ETF,SCHB,ETFs & Closed End Funds,Dividend,2.4000000000,Received,
06/30/2026,...222,Individual,BROKERAGE,Schwab US Broad Market ETF,SCHB,ETFs & Closed End Funds,Dividend,2.5000000000,Received,
